SchoolYear,Sector,SubSector,ulcscode,SchoolName,LearningNetwork,GradeLevel,StudentEnrollment,ELCount,ELPCT,NotELCount,NotELPCT,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,AmericanIndianCount,AmericanIndianPCT,AsianCount,AsianPCT,BlackAfricanAmericanCount,BlackAfricanAmericanPCT,HispanicCount,HispanicPCT,MultiRaceCount,MultiRacePCT,PacificIslanderCount,PacificIslanderPCT,WhiteCount,WhitePCT,CEPEconomicallyDisadvantagedRate
2023-2024,District,District,2510,Fanny Jackson Coppin School,Network 10,07,45,9,20.00,36,80.00,5,11.11,40,88.89,22,48.89,23,51.11,0,0.00,4,8.89,6,13.33,19,42.22,3,6.67,0,0.00,13,28.89,
2023-2024,District,District,2510,Fanny Jackson Coppin School,Network 10,08,43,16,37.21,27,62.79,4,9.30,39,90.70,24,55.81,19,44.19,0,0.00,6,13.95,5,11.63,22,51.16,2,4.65,0,0.00,8,18.60,
2023-2024,District,District,2510,Fanny Jackson Coppin School,Network 10,All Grades,517,100,19.34,417,80.66,54,10.44,463,89.56,242,46.81,275,53.19,0,0.00,35,6.77,66,12.77,142,27.47,50,9.67,0,0.00,224,43.33,69.63
2023-2024,District,District,2520,Abram S. Jenks School,Network 10,00,54,7,12.96,47,87.04,0,0.00,54,100.00,29,53.70,25,46.30,0,0.00,16,29.63,11,20.37,3,5.56,3,5.56,0,0.00,21,38.89,
2023-2024,District,District,2520,Abram S. Jenks School,Network 10,01,38,7,18.42,31,81.58,3,7.89,35,92.11,16,42.11,22,57.89,0,0.00,9,23.68,7,18.42,2,5.26,3,7.89,0,0.00,17,44.74,
2023-2024,District,District,2520,Abram S. Jenks School,Network 10,02,54,11,20.37,43,79.63,5,9.26,49,90.74,26,48.15,28,51.85,0,0.00,19,35.19,5,9.26,9,16.67,6,11.11,0,0.00,15,27.78,
2023-2024,District,District,2520,Abram S. Jenks School,Network 10,03,37,10,27.03,27,72.97,4,10.81,33,89.19,17,45.95,20,54.05,0,0.00,13,35.14,7,18.92,3,8.11,2,5.41,0,0.00,12,32.43,
2023-2024,District,District,2520,Abram S. Jenks School,Network 10,04,46,10,21.74,36,78.26,8,17.39,38,82.61,23,50.00,23,50.00,0,0.00,12,26.09,5,10.87,7,15.22,4,8.70,0,0.00,18,39.13,
2023-2024,District,District,2520,Abram S. Jenks School,Network 10,05,26,5,19.23,21,80.77,3,11.54,23,88.46,10,38.46,16,61.54,0,0.00,10,38.46,2,7.69,3,11.54,1,3.85,0,0.00,10,38.46,
2023-2024,District,District,2520,Abram S. Jenks School,Network 10,All Grades,255,50,19.61,205,80.39,23,9.02,232,90.98,121,47.45,134,52.55,0,0.00,79,30.98,37,14.51,27,10.59,19,7.45,0,0.00,93,36.47,97.25
2023-2024,Alternative,Alt District Run,2530,Phila. Juv. Justice Services Ctr.,Innovation,06,3,0,0.00,3,100.00,1,33.33,2,66.67,1,33.33,2,66.67,0,0.00,0,0.00,2,66.67,0,0.00,0,0.00,0,0.00,1,33.33,
2023-2024,Alternative,Alt District Run,2530,Phila. Juv. Justice Services Ctr.,Innovation,07,5,1,20.00,4,80.00,2,40.00,3,60.00,0,0.00,5,100.00,0,0.00,0,0.00,4,80.00,0,0.00,0,0.00,0,0.00,1,20.00,
2023-2024,Alternative,Alt District Run,2530,Phila. Juv. Justice Services Ctr.,Innovation,08,14,0,0.00,14,100.00,8,57.14,6,42.86,2,14.29,12,85.71,0,0.00,0,0.00,10,71.43,2,14.29,1,7.14,0,0.00,1,7.14,
2023-2024,Alternative,Alt District Run,2530,Phila. Juv. Justice Services Ctr.,Innovation,09,47,2,4.26,45,95.74,21,44.68,26,55.32,9,19.15,38,80.85,0,0.00,0,0.00,36,76.60,7,14.89,1,2.13,1,2.13,2,4.26,
2023-2024,Alternative,Alt District Run,2530,Phila. Juv. Justice Services Ctr.,Innovation,10,62,3,4.84,59,95.16,26,41.94,36,58.06,6,9.68,56,90.32,0,0.00,0,0.00,50,80.65,10,16.13,2,3.23,0,0.00,0,0.00,
2023-2024,Alternative,Alt District Run,2530,Phila. Juv. Justice Services Ctr.,Innovation,11,31,0,0.00,31,100.00,15,48.39,16,51.61,2,6.45,29,93.55,0,0.00,0,0.00,27,87.10,2,6.45,1,3.23,0,0.00,1,3.23,
2023-2024,Alternative,Alt District Run,2530,Phila. Juv. Justice Services Ctr.,Innovation,12,48,0,0.00,48,100.00,23,47.92,25,52.08,4,8.33,44,91.67,0,0.00,0,0.00,45,93.75,2,4.17,1,2.08,0,0.00,0,0.00,
2023-2024,Alternative,Alt District Run,2530,Phila. Juv. Justice Services Ctr.,Innovation,All Grades,210,6,2.86,204,97.14,96,45.71,114,54.29,24,11.43,186,88.57,0,0.00,0,0.00,174,82.86,23,10.95,6,2.86,1,0.48,6,2.86,13.71
2023-2024,District,District,2540,Francis S. Key School,Network 10,00,53,42,79.25,11,20.75,0,0.00,53,100.00,20,37.74,33,62.26,0,0.00,11,20.75,3,5.66,39,73.58,0,0.00,0,0.00,0,0.00,
2023-2024,District,District,2540,Francis S. Key School,Network 10,01,55,39,70.91,16,29.09,7,12.73,48,87.27,29,52.73,26,47.27,0,0.00,21,38.18,3,5.45,26,47.27,0,0.00,1,1.82,4,7.27,
2023-2024,District,District,2540,Francis S. Key School,Network 10,02,60,49,81.67,11,18.33,4,6.67,56,93.33,29,48.33,31,51.67,0,0.00,8,13.33,5,8.33,43,71.67,0,0.00,1,1.67,3,5.00,
2023-2024,District,District,2540,Francis S. Key School,Network 10,03,43,29,67.44,14,32.56,5,11.63,38,88.37,20,46.51,23,53.49,0,0.00,14,32.56,4,9.30,23,53.49,1,2.33,0,0.00,1,2.33,
2023-2024,District,District,2540,Francis S. Key School,Network 10,04,60,38,63.33,22,36.67,8,13.33,52,86.67,26,43.33,34,56.67,0,0.00,18,30.00,5,8.33,33,55.00,1,1.67,0,0.00,3,5.00,
2023-2024,District,District,2540,Francis S. Key School,Network 10,05,55,41,74.55,14,25.45,5,9.09,50,90.91,18,32.73,37,67.27,0,0.00,11,20.00,3,5.45,39,70.91,0,0.00,0,0.00,2,3.64,
2023-2024,District,District,2540,Francis S. Key School,Network 10,06,63,37,58.73,26,41.27,5,7.94,58,92.06,25,39.68,38,60.32,0,0.00,18,28.57,8,12.70,34,53.97,1,1.59,0,0.00,2,3.17,
2023-2024,District,District,2540,Francis S. Key School,Network 10,All Grades,389,275,70.69,114,29.31,34,8.74,355,91.26,167,42.93,222,57.07,0,0.00,101,25.96,31,7.97,237,60.93,3,0.77,2,0.51,15,3.86,100.00
2023-2024,District,District,2580,Eliza B. Kirkbride School,Network 10,00,46,19,41.30,27,58.70,4,8.70,42,91.30,20,43.48,26,56.52,0,0.00,5,10.87,3,6.52,22,47.83,6,13.04,0,0.00,10,21.74,
2023-2024,District,District,2580,Eliza B. Kirkbride School,Network 10,01,54,25,46.30,29,53.70,5,9.26,49,90.74,29,53.70,24,44.44,0,0.00,3,5.56,3,5.56,33,61.11,2,3.70,0,0.00,13,24.07,
2023-2024,District,District,2580,Eliza B. Kirkbride School,Network 10,02,47,30,63.83,17,36.17,8,17.02,39,82.98,27,57.45,20,42.55,0,0.00,13,27.66,0,0.00,20,42.55,4,8.51,0,0.00,10,21.28,
2023-2024,District,District,2580,Eliza B. Kirkbride School,Network 10,03,50,31,62.00,19,38.00,10,20.00,40,80.00,29,58.00,21,42.00,0,0.00,14,28.00,3,6.00,25,50.00,1,2.00,0,0.00,7,14.00,
2023-2024,District,District,2580,Eliza B. Kirkbride School,Network 10,04,54,26,48.15,28,51.85,10,18.52,44,81.48,34,62.96,20,37.04,0,0.00,11,20.37,2,3.70,33,61.11,1,1.85,0,0.00,7,12.96,
2023-2024,District,District,2580,Eliza B. Kirkbride School,Network 10,05,54,26,48.15,28,51.85,11,20.37,43,79.63,26,48.15,28,51.85,0,0.00,17,31.48,2,3.70,29,53.70,0,0.00,0,0.00,6,11.11,
2023-2024,District,District,2580,Eliza B. Kirkbride School,Network 10,06,53,24,45.28,29,54.72,7,13.21,46,86.79,21,39.62,32,60.38,0,0.00,10,18.87,3,5.66,36,67.92,0,0.00,0,0.00,4,7.55,
2023-2024,District,District,2580,Eliza B. Kirkbride School,Network 10,07,60,26,43.33,34,56.67,12,20.00,48,80.00,30,50.00,30,50.00,0,0.00,16,26.67,3,5.00,31,51.67,2,3.33,0,0.00,8,13.33,
2023-2024,District,District,2580,Eliza B. Kirkbride School,Network 10,08,60,24,40.00,36,60.00,10,16.67,50,83.33,22,36.67,38,63.33,0,0.00,21,35.00,5,8.33,25,41.67,5,8.33,0,0.00,4,6.67,
2023-2024,District,District,2580,Eliza B. Kirkbride School,Network 10,All Grades,478,231,48.33,247,51.67,77,16.11,401,83.89,238,49.79,239,50.00,0,0.00,110,23.01,24,5.02,254,53.14,21,4.39,0,0.00,69,14.44,100.00
2023-2024,District,District,2590,George W. Nebinger School,Network 3,00,54,4,7.41,50,92.59,4,7.41,50,92.59,26,48.15,28,51.85,0,0.00,2,3.70,18,33.33,8,14.81,6,11.11,0,0.00,20,37.04,
2023-2024,District,District,2590,George W. Nebinger School,Network 3,01,37,5,13.51,32,86.49,5,13.51,32,86.49,17,45.95,20,54.05,0,0.00,2,5.41,11,29.73,7,18.92,1,2.70,0,0.00,16,43.24,
2023-2024,District,District,2590,George W. Nebinger School,Network 3,02,46,9,19.57,37,80.43,9,19.57,37,80.43,22,47.83,24,52.17,1,2.17,2,4.35,14,30.43,12,26.09,1,2.17,0,0.00,16,34.78,
2023-2024,District,District,2590,George W. Nebinger School,Network 3,03,37,9,24.32,28,75.68,10,27.03,27,72.97,17,45.95,20,54.05,0,0.00,3,8.11,13,35.14,9,24.32,2,5.41,0,0.00,10,27.03,
2023-2024,District,District,2590,George W. Nebinger School,Network 3,04,55,8,14.55,47,85.45,18,32.73,37,67.27,23,41.82,32,58.18,0,0.00,5,9.09,17,30.91,10,18.18,0,0.00,0,0.00,23,41.82,
2023-2024,District,District,2590,George W. Nebinger School,Network 3,05,58,15,25.86,43,74.14,22,37.93,36,62.07,27,46.55,31,53.45,0,0.00,5,8.62,21,36.21,17,29.31,2,3.45,0,0.00,13,22.41,
2023-2024,District,District,2590,George W. Nebinger School,Network 3,06,26,4,15.38,22,84.62,11,42.31,15,57.69,13,50.00,13,50.00,0,0.00,1,3.85,16,61.54,6,23.08,1,3.85,0,0.00,2,7.69,
2023-2024,District,District,2590,George W. Nebinger School,Network 3,07,34,10,29.41,24,70.59,11,32.35,23,67.65,14,41.18,20,58.82,1,2.94,3,8.82,12,35.29,11,32.35,2,5.88,0,0.00,5,14.71,
2023-2024,District,District,2590,George W. Nebinger School,Network 3,08,42,10,23.81,32,76.19,12,28.57,30,71.43,16,38.10,26,61.90,0,0.00,3,7.14,21,50.00,14,33.33,2,4.76,0,0.00,2,4.76,
2023-2024,District,District,2590,George W. Nebinger School,Network 3,All Grades,389,74,19.02,315,80.98,102,26.22,287,73.78,175,44.99,214,55.01,2,0.51,26,6.68,143,36.76,94,24.16,17,4.37,0,0.00,107,27.51,95.84
2023-2024,District,District,2620,Academy at Palumbo,Network 1,09,286,41,14.34,245,85.66,20,6.99,266,93.01,148,51.75,138,48.25,2,0.70,91,31.82,56,19.58,68,23.78,19,6.64,0,0.00,50,17.48,
2023-2024,District,District,2620,Academy at Palumbo,Network 1,10,355,32,9.01,323,90.99,19,5.35,336,94.65,223,62.82,130,36.62,1,0.28,104,29.30,107,30.14,64,18.03,25,7.04,0,0.00,54,15.21,
2023-2024,District,District,2620,Academy at Palumbo,Network 1,11,303,21,6.93,282,93.07,11,3.63,292,96.37,168,55.45,132,43.56,1,0.33,127,41.91,72,23.76,44,14.52,12,3.96,0,0.00,47,15.51,
2023-2024,District,District,2620,Academy at Palumbo,Network 1,12,244,12,4.92,232,95.08,7,2.87,237,97.13,153,62.70,91,37.30,0,0.00,107,43.85,61,25.00,29,11.89,5,2.05,0,0.00,42,17.21,
2023-2024,District,District,2620,Academy at Palumbo,Network 1,All Grades,1188,106,8.92,1082,91.08,57,4.80,1131,95.20,692,58.25,491,41.33,4,0.34,429,36.11,296,24.92,205,17.26,61,5.13,0,0.00,193,16.25,100.00
2023-2024,District,District,2630,George W. Sharswood School,Network 10,00,31,6,19.35,25,80.65,2,6.45,29,93.55,12,38.71,19,61.29,0,0.00,5,16.13,0,0.00,10,32.26,1,3.23,0,0.00,15,48.39,
2023-2024,District,District,2630,George W. Sharswood School,Network 10,01,24,7,29.17,17,70.83,7,29.17,17,70.83,12,50.00,12,50.00,0,0.00,5,20.83,1,4.17,6,25.00,1,4.17,0,0.00,11,45.83,
2023-2024,District,District,2630,George W. Sharswood School,Network 10,02,39,7,17.95,32,82.05,13,33.33,26,66.67,15,38.46,24,61.54,0,0.00,8,20.51,4,10.26,12,30.77,2,5.13,0,0.00,13,33.33,
2023-2024,District,District,2630,George W. Sharswood School,Network 10,03,23,8,34.78,15,65.22,6,26.09,17,73.91,11,47.83,12,52.17,1,4.35,4,17.39,1,4.35,7,30.43,2,8.70,0,0.00,8,34.78,
2023-2024,District,District,2630,George W. Sharswood School,Network 10,04,33,5,15.15,28,84.85,12,36.36,21,63.64,16,48.48,17,51.52,0,0.00,9,27.27,2,6.06,3,9.09,3,9.09,0,0.00,16,48.48,
2023-2024,District,District,2630,George W. Sharswood School,Network 10,05,26,5,19.23,21,80.77,7,26.92,19,73.08,14,53.85,12,46.15,0,0.00,9,34.62,2,7.69,5,19.23,0,0.00,0,0.00,10,38.46,
2023-2024,District,District,2630,George W. Sharswood School,Network 10,06,52,5,9.62,47,90.38,18,34.62,34,65.38,25,48.08,27,51.92,0,0.00,8,15.38,9,17.31,12,23.08,1,1.92,0,0.00,22,42.31,
2023-2024,District,District,2630,George W. Sharswood School,Network 10,07,48,11,22.92,37,77.08,12,25.00,36,75.00,26,54.17,22,45.83,0,0.00,9,18.75,5,10.42,7,14.58,2,4.17,0,0.00,25,52.08,
2023-2024,District,District,2630,George W. Sharswood School,Network 10,08,51,9,17.65,42,82.35,21,41.18,30,58.82,27,52.94,24,47.06,1,1.96,7,13.73,10,19.61,15,29.41,2,3.92,0,0.00,16,31.37,
2023-2024,District,District,2630,George W. Sharswood School,Network 10,All Grades,327,63,19.27,264,80.73,98,29.97,229,70.03,158,48.32,169,51.68,2,0.61,64,19.57,34,10.40,77,23.55,14,4.28,0,0.00,136,41.59,100.00
2023-2024,District,District,2640,Southwark School,Network 10,00,100,48,48.00,52,52.00,1,1.00,99,99.00,47,47.00,53,53.00,0,0.00,11,11.00,5,5.00,60,60.00,3,3.00,0,0.00,21,21.00,
2023-2024,District,District,2640,Southwark School,Network 10,01,102,54,52.94,48,47.06,6,5.88,96,94.12,48,47.06,54,52.94,0,0.00,15,14.71,2,1.96,66,64.71,0,0.00,0,0.00,19,18.63,
2023-2024,District,District,2640,Southwark School,Network 10,02,98,45,45.92,53,54.08,7,7.14,91,92.86,41,41.84,57,58.16,1,1.02,13,13.27,5,5.10,54,55.10,1,1.02,0,0.00,24,24.49,
2023-2024,District,District,2640,Southwark School,Network 10,03,108,54,50.00,54,50.00,7,6.48,101,93.52,55,50.93,53,49.07,1,0.93,21,19.44,8,7.41,52,48.15,3,2.78,0,0.00,23,21.30,
2023-2024,District,District,2640,Southwark School,Network 10,04,99,38,38.38,61,61.62,11,11.11,88,88.89,53,53.54,45,45.45,0,0.00,21,21.21,4,4.04,55,55.56,1,1.01,0,0.00,18,18.18,
2023-2024,District,District,2640,Southwark School,Network 10,05,108,53,49.07,55,50.93,11,10.19,97,89.81,52,48.15,56,51.85,0,0.00,23,21.30,9,8.33,63,58.33,2,1.85,0,0.00,11,10.19,
2023-2024,District,District,2640,Southwark School,Network 10,06,85,47,55.29,38,44.71,8,9.41,77,90.59,38,44.71,47,55.29,0,0.00,13,15.29,3,3.53,61,71.76,1,1.18,0,0.00,7,8.24,
2023-2024,District,District,2640,Southwark School,Network 10,07,120,59,49.17,61,50.83,18,15.00,102,85.00,65,54.17,55,45.83,0,0.00,28,23.33,10,8.33,63,52.50,9,7.50,0,0.00,10,8.33,
2023-2024,District,District,2640,Southwark School,Network 10,08,115,64,55.65,51,44.35,18,15.65,97,84.35,55,47.83,60,52.17,0,0.00,32,27.83,9,7.83,70,60.87,2,1.74,0,0.00,2,1.74,
2023-2024,District,District,2640,Southwark School,Network 10,All Grades,935,462,49.41,473,50.59,87,9.30,848,90.70,454,48.56,480,51.34,2,0.21,177,18.93,55,5.88,544,58.18,22,2.35,0,0.00,135,14.44,100.00
2023-2024,District,District,2650,Science Leadership Academy,Innovation,09,125,5,4.00,120,96.00,17,13.60,108,86.40,56,44.80,68,54.40,0,0.00,12,9.60,36,28.80,21,16.80,17,13.60,0,0.00,39,31.20,
2023-2024,District,District,2650,Science Leadership Academy,Innovation,10,127,5,3.94,122,96.06,19,14.96,108,85.04,61,48.03,64,50.39,0,0.00,18,14.17,37,29.13,11,8.66,10,7.87,0,0.00,51,40.16,
2023-2024,District,District,2650,Science Leadership Academy,Innovation,11,125,5,4.00,120,96.00,12,9.60,113,90.40,56,44.80,66,52.80,0,0.00,12,9.60,33,26.40,28,22.40,6,4.80,1,0.80,45,36.00,
2023-2024,District,District,2650,Science Leadership Academy,Innovation,12,123,1,0.81,122,99.19,14,11.38,109,88.62,65,52.85,55,44.72,0,0.00,11,8.94,36,29.27,22,17.89,8,6.50,0,0.00,46,37.40,
2023-2024,District,District,2650,Science Leadership Academy,Innovation,All Grades,500,16,3.20,484,96.80,62,12.40,438,87.60,238,47.60,253,50.60,0,0.00,53,10.60,142,28.40,82,16.40,41,8.20,1,0.20,181,36.20,60.80
2023-2024,District,District,2670,Constitution High School,Network 1,09,110,14,12.73,96,87.27,20,18.18,90,81.82,56,50.91,54,49.09,1,0.91,5,4.55,65,59.09,31,28.18,6,5.45,0,0.00,2,1.82,
2023-2024,District,District,2670,Constitution High School,Network 1,10,86,8,9.30,78,90.70,15,17.44,71,82.56,46,53.49,40,46.51,0,0.00,5,5.81,57,66.28,13,15.12,3,3.49,0,0.00,8,9.30,
2023-2024,District,District,2670,Constitution High School,Network 1,11,101,3,2.97,98,97.03,8,7.92,93,92.08,62,61.39,38,37.62,0,0.00,7,6.93,65,64.36,13,12.87,9,8.91,0,0.00,7,6.93,
2023-2024,District,District,2670,Constitution High School,Network 1,12,104,6,5.77,98,94.23,8,7.69,96,92.31,61,58.65,43,41.35,0,0.00,5,4.81,68,65.38,22,21.15,6,5.77,0,0.00,3,2.88,
2023-2024,District,District,2670,Constitution High School,Network 1,All Grades,401,31,7.73,370,92.27,51,12.72,350,87.28,225,56.11,175,43.64,1,0.25,22,5.49,255,63.59,79,19.70,24,5.99,0,0.00,20,4.99,100.00
2023-2024,District,District,2680,The Science Leadership Academy at Beeber,Innovation,05,16,0,0.00,16,100.00,1,6.25,15,93.75,7,43.75,9,56.25,0,0.00,0,0.00,9,56.25,0,0.00,0,0.00,0,0.00,7,43.75,
2023-2024,District,District,2680,The Science Leadership Academy at Beeber,Innovation,06,54,2,3.70,52,96.30,3,5.56,51,94.44,23,42.59,30,55.56,0,0.00,2,3.70,41,75.93,2,3.70,1,1.85,0,0.00,8,14.81,
2023-2024,District,District,2680,The Science Leadership Academy at Beeber,Innovation,07,51,5,9.80,46,90.20,1,1.96,50,98.04,25,49.02,26,50.98,0,0.00,2,3.92,36,70.59,3,5.88,5,9.80,0,0.00,5,9.80,
2023-2024,District,District,2680,The Science Leadership Academy at Beeber,Innovation,08,61,3,4.92,58,95.08,1,1.64,60,98.36,34,55.74,27,44.26,0,0.00,3,4.92,48,78.69,2,3.28,1,1.64,0,0.00,7,11.48,
2023-2024,District,District,2680,The Science Leadership Academy at Beeber,Innovation,09,60,2,3.33,58,96.67,3,5.00,57,95.00,31,51.67,29,48.33,0,0.00,0,0.00,51,85.00,3,5.00,4,6.67,0,0.00,2,3.33,
2023-2024,District,District,2680,The Science Leadership Academy at Beeber,Innovation,10,103,8,7.77,95,92.23,9,8.74,94,91.26,54,52.43,49,47.57,1,0.97,4,3.88,85,82.52,0,0.00,6,5.83,0,0.00,7,6.80,
2023-2024,District,District,2680,The Science Leadership Academy at Beeber,Innovation,11,99,9,9.09,90,90.91,10,10.10,89,89.90,46,46.46,53,53.54,0,0.00,6,6.06,73,73.74,5,5.05,6,6.06,0,0.00,9,9.09,
2023-2024,District,District,2680,The Science Leadership Academy at Beeber,Innovation,12,114,12,10.53,102,89.47,5,4.39,109,95.61,56,49.12,58,50.88,1,0.88,7,6.14,82,71.93,9,7.89,4,3.51,0,0.00,11,9.65,
2023-2024,District,District,2680,The Science Leadership Academy at Beeber,Innovation,All Grades,558,41,7.35,517,92.65,33,5.91,525,94.09,276,49.46,281,50.36,2,0.36,24,4.30,425,76.16,24,4.30,27,4.84,0,0.00,56,10.04,86.88
2023-2024,District,District,2690,John H. Taggart School,Network 3,00,48,18,37.50,30,62.50,1,2.08,47,97.92,22,45.83,26,54.17,0,0.00,16,33.33,5,10.42,20,41.67,3,6.25,0,0.00,4,8.33,
2023-2024,District,District,2690,John H. Taggart School,Network 3,01,54,32,59.26,22,40.74,6,11.11,48,88.89,25,46.30,29,53.70,0,0.00,13,24.07,3,5.56,31,57.41,3,5.56,0,0.00,4,7.41,
2023-2024,District,District,2690,John H. Taggart School,Network 3,02,54,25,46.30,29,53.70,12,22.22,42,77.78,19,35.19,35,64.81,0,0.00,26,48.15,2,3.70,22,40.74,2,3.70,0,0.00,2,3.70,
2023-2024,District,District,2690,John H. Taggart School,Network 3,03,46,25,54.35,21,45.65,7,15.22,39,84.78,20,43.48,26,56.52,0,0.00,17,36.96,3,6.52,19,41.30,2,4.35,0,0.00,5,10.87,
2023-2024,District,District,2690,John H. Taggart School,Network 3,04,50,24,48.00,26,52.00,6,12.00,44,88.00,25,50.00,25,50.00,0,0.00,25,50.00,4,8.00,16,32.00,2,4.00,0,0.00,3,6.00,
2023-2024,District,District,2690,John H. Taggart School,Network 3,05,48,19,39.58,29,60.42,9,18.75,39,81.25,18,37.50,30,62.50,0,0.00,23,47.92,6,12.50,16,33.33,1,2.08,0,0.00,2,4.17,
2023-2024,District,District,2690,John H. Taggart School,Network 3,06,61,19,31.15,42,68.85,5,8.20,56,91.80,33,54.10,28,45.90,0,0.00,29,47.54,8,13.11,19,31.15,2,3.28,0,0.00,3,4.92,
2023-2024,District,District,2690,John H. Taggart School,Network 3,07,57,31,54.39,26,45.61,6,10.53,51,89.47,22,38.60,35,61.40,0,0.00,29,50.88,3,5.26,19,33.33,3,5.26,0,0.00,3,5.26,
2023-2024,District,District,2690,John H. Taggart School,Network 3,08,67,33,49.25,34,50.75,8,11.94,59,88.06,27,40.30,40,59.70,0,0.00,35,52.24,8,11.94,15,22.39,5,7.46,0,0.00,4,5.97,
2023-2024,District,District,2690,John H. Taggart School,Network 3,All Grades,485,226,46.60,259,53.40,60,12.37,425,87.63,211,43.51,274,56.49,0,0.00,213,43.92,42,8.66,177,36.49,23,4.74,0,0.00,30,6.19,100.00
2023-2024,District,District,2720,Vare-Washington School,Network 3,00,41,10,24.39,31,75.61,4,9.76,37,90.24,22,53.66,19,46.34,0,0.00,2,4.88,3,7.32,13,31.71,4,9.76,0,0.00,19,46.34,
2023-2024,District,District,2720,Vare-Washington School,Network 3,01,29,9,31.03,20,68.97,8,27.59,21,72.41,14,48.28,15,51.72,1,3.45,1,3.45,7,24.14,11,37.93,0,0.00,0,0.00,9,31.03,
2023-2024,District,District,2720,Vare-Washington School,Network 3,02,47,12,25.53,35,74.47,20,42.55,27,57.45,17,36.17,30,63.83,0,0.00,3,6.38,7,14.89,19,40.43,4,8.51,0,0.00,14,29.79,
2023-2024,District,District,2720,Vare-Washington School,Network 3,03,17,7,41.18,10,58.82,6,35.29,11,64.71,7,41.18,10,58.82,0,0.00,3,17.65,5,29.41,7,41.18,1,5.88,0,0.00,1,5.88,
2023-2024,District,District,2720,Vare-Washington School,Network 3,04,43,12,27.91,31,72.09,15,34.88,28,65.12,20,46.51,23,53.49,0,0.00,3,6.98,11,25.58,14,32.56,2,4.65,0,0.00,13,30.23,
2023-2024,District,District,2720,Vare-Washington School,Network 3,05,23,11,47.83,12,52.17,6,26.09,17,73.91,9,39.13,14,60.87,0,0.00,3,13.04,3,13.04,10,43.48,0,0.00,0,0.00,7,30.43,
2023-2024,District,District,2720,Vare-Washington School,Network 3,06,39,11,28.21,28,71.79,10,25.64,29,74.36,19,48.72,20,51.28,0,0.00,5,12.82,11,28.21,16,41.03,3,7.69,0,0.00,4,10.26,
2023-2024,District,District,2720,Vare-Washington School,Network 3,07,18,5,27.78,13,72.22,3,16.67,15,83.33,13,72.22,5,27.78,0,0.00,1,5.56,8,44.44,8,44.44,0,0.00,0,0.00,1,5.56,
2023-2024,District,District,2720,Vare-Washington School,Network 3,08,54,17,31.48,37,68.52,12,22.22,42,77.78,23,42.59,31,57.41,0,0.00,12,22.22,8,14.81,26,48.15,5,9.26,0,0.00,3,5.56,
2023-2024,District,District,2720,Vare-Washington School,Network 3,All Grades,311,94,30.23,217,69.77,84,27.01,227,72.99,144,46.30,167,53.70,1,0.32,33,10.61,63,20.26,124,39.87,19,6.11,0,0.00,71,22.83,99.81
2023-2024,Alternative,Alt Contracted,3040,Excel Middle Years Academy,Opportunity,06,1,0,0.00,1,100.00,0,0.00,1,100.00,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2023-2024,Alternative,Alt Contracted,3040,Excel Middle Years Academy,Opportunity,07,9,0,0.00,9,100.00,2,22.22,7,77.78,6,66.67,3,33.33,0,0.00,0,0.00,8,88.89,1,11.11,0,0.00,0,0.00,0,0.00,
2023-2024,Alternative,Alt Contracted,3040,Excel Middle Years Academy,Opportunity,08,24,0,0.00,24,100.00,3,12.50,21,87.50,12,50.00,12,50.00,0,0.00,0,0.00,22,91.67,2,8.33,0,0.00,0,0.00,0,0.00,
2023-2024,Alternative,Alt Contracted,3040,Excel Middle Years Academy,Opportunity,All Grades,34,0,0.00,34,100.00,5,14.71,29,85.29,18,52.94,16,47.06,0,0.00,0,0.00,31,91.18,3,8.82,0,0.00,0,0.00,0,0.00,100.00
2023-2024,Alternative,Alt District Run,3190,Crossroads at Hunting Park,Innovation,03,1,0,0.00,1,100.00,1,100.00,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2023-2024,Alternative,Alt District Run,3190,Crossroads at Hunting Park,Innovation,04,5,1,20.00,4,80.00,3,60.00,2,40.00,1,20.00,4,80.00,0,0.00,0,0.00,3,60.00,2,40.00,0,0.00,0,0.00,0,0.00,
2023-2024,Alternative,Alt District Run,3190,Crossroads at Hunting Park,Innovation,05,15,2,13.33,13,86.67,4,26.67,11,73.33,2,13.33,13,86.67,0,0.00,0,0.00,7,46.67,7,46.67,0,0.00,0,0.00,1,6.67,
2023-2024,Alternative,Alt District Run,3190,Crossroads at Hunting Park,Innovation,06,11,0,0.00,11,100.00,1,9.09,10,90.91,4,36.36,7,63.64,0,0.00,0,0.00,8,72.73,3,27.27,0,0.00,0,0.00,0,0.00,
2023-2024,Alternative,Alt District Run,3190,Crossroads at Hunting Park,Innovation,All Grades,32,3,9.38,29,90.63,9,28.13,23,71.88,7,21.88,25,78.13,0,0.00,0,0.00,19,59.38,12,37.50,0,0.00,0,0.00,1,3.13,100.00
2023-2024,Alternative,Alt District Run,3210,Ben Franklin High School EOP,Opportunity,09,1,0,0.00,1,100.00,0,0.00,1,100.00,1,100.00,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
