zip,name,naics,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,city,stabbr,cty_name
18833,"NEW ALBANY, PA",813///,3,3,N,N,N,N,N,N,N,N,NEW ALBANY,PA,BRADFORD
18834,"NEW MILFORD, PA",813///,5,3,N,N,N,N,N,N,N,N,NEW MILFORD,PA,SUSQUEHANNA
18837,"ROME, PA",813///,4,3,N,N,N,N,N,N,N,N,ROME,PA,BRADFORD
18840,"SAYRE, PA",813///,13,10,3,N,N,N,N,N,N,N,SAYRE,PA,BRADFORD
18847,"SUSQUEHANNA, PA",813///,3,N,N,N,N,N,N,N,N,N,SUSQUEHANNA,PA,SUSQUEHANNA
18848,"TOWANDA, PA",611///,3,N,N,N,N,N,N,N,N,N,TOWANDA,PA,BRADFORD
18848,"TOWANDA, PA",813///,16,11,4,N,N,N,N,N,N,N,TOWANDA,PA,BRADFORD
18850,"ULSTER, PA",813///,4,3,N,N,N,N,N,N,N,N,ULSTER,PA,BRADFORD
18853,"WYALUSING, PA",813///,6,5,N,N,N,N,N,N,N,N,WYALUSING,PA,BRADFORD
18901,"DOYLESTOWN, PA",611///,14,7,N,N,3,N,N,N,N,N,DOYLESTOWN,PA,BUCKS
18901,"DOYLESTOWN, PA",813///,35,15,7,9,N,3,N,N,N,N,DOYLESTOWN,PA,BUCKS
18902,"DOYLESTOWN, PA",611///,6,4,N,N,N,N,N,N,N,N,DOYLESTOWN,PA,BUCKS
18902,"DOYLESTOWN, PA",813///,3,N,N,N,N,N,N,N,N,N,DOYLESTOWN,PA,BUCKS
18912,"BUCKINGHAM, PA",813///,3,N,N,N,N,N,N,N,N,N,BUCKINGHAM,PA,BUCKS
18914,"CHALFONT, PA",611///,9,N,3,4,N,N,N,N,N,N,CHALFONT,PA,BUCKS
18914,"CHALFONT, PA",813///,8,3,3,N,N,N,N,N,N,N,CHALFONT,PA,BUCKS
18915,"COLMAR, PA",611///,3,N,N,N,N,N,N,N,N,N,COLMAR,PA,MONTGOMERY
18927,"HILLTOWN, PA",813///,5,3,N,N,N,N,N,N,N,N,HILLTOWN,PA,BUCKS
18929,"JAMISON, PA",611///,5,N,N,3,N,N,N,N,N,N,JAMISON,PA,BUCKS
18929,"JAMISON, PA",813///,7,6,N,N,N,N,N,N,N,N,JAMISON,PA,BUCKS
18936,"MONTGOMERYVILLE, PA",813///,4,N,N,N,N,N,N,N,N,N,MONTGOMERYVILLE,PA,MONTGOMERY
18938,"NEW HOPE, PA",611///,5,N,N,N,N,N,N,N,N,N,NEW HOPE,PA,BUCKS
18938,"NEW HOPE, PA",813///,12,5,3,3,N,N,N,N,N,N,NEW HOPE,PA,BUCKS
18940,"NEWTOWN, PA",611///,26,14,4,N,3,N,N,N,N,N,NEWTOWN,PA,BUCKS
18940,"NEWTOWN, PA",813///,27,13,6,6,N,N,N,N,N,N,NEWTOWN,PA,BUCKS
18942,"OTTSVILLE, PA",611///,5,4,N,N,N,N,N,N,N,N,OTTSVILLE,PA,BUCKS
18942,"OTTSVILLE, PA",813///,4,3,N,N,N,N,N,N,N,N,OTTSVILLE,PA,BUCKS
18944,"PERKASIE, PA",813///,19,12,5,N,N,N,N,N,N,N,PERKASIE,PA,BUCKS
18947,"PIPERSVILLE, PA",813///,3,3,N,N,N,N,N,N,N,N,PIPERSVILLE,PA,BUCKS
18951,"QUAKERTOWN, PA",611///,13,5,3,N,4,N,N,N,N,N,QUAKERTOWN,PA,BUCKS
18951,"QUAKERTOWN, PA",813///,28,16,6,4,N,N,N,N,N,N,QUAKERTOWN,PA,BUCKS
18954,"RICHBORO, PA",611///,6,4,N,N,N,N,N,N,N,N,RICHBORO,PA,BUCKS
18954,"RICHBORO, PA",813///,6,3,N,N,N,N,N,N,N,N,RICHBORO,PA,BUCKS
18960,"SELLERSVILLE, PA",813///,12,4,6,N,N,N,N,N,N,N,SELLERSVILLE,PA,BUCKS
18964,"SOUDERTON, PA",813///,21,13,4,N,N,N,N,N,N,N,SOUDERTON,PA,MONTGOMERY
