IE_SCORE,Latitude,Longitude,GEO_ID,ZIP_CODE
,26.296191,-98.299959,,78573.0
,26.297375,-97.999973,,78543.0
,26.297669,-97.902485,,78562.0
,26.29824,-80.181415,,33073.0
,26.300417,-81.78846,,34110.0
,26.305788,-80.223371,,33067.0
,26.307831,-98.039361,,78558.0
,26.309175,-80.149813,,33442.0
,26.311098,-80.097874,,33441.0
,26.315322,-80.277978,,33076.0
,26.318906,-98.370049,,78574.0
,26.321607,-98.476164,,78576.0
,26.326101,-81.570093,,34120.0
,26.342595,-81.313304,,34142.0
,26.343902,-80.082735,,33432.0
,26.345257,-97.794892,,78594.0
,26.347159,-80.159235,,33433.0
,26.347501,-80.112571,,33486.0
,26.352906,-80.207938,,33428.0
,26.353032,-81.82405,,34134.0
,26.355541,-81.75432,,34135.0
,26.368214,-97.74357,,78569.0
,26.374541,-97.98028,,78538.0
,26.37476,-80.1062,,33431.0
,26.382712,-80.167138,,33434.0
,26.386067,-80.219558,,33498.0
,26.399034,-81.704725,,33928.0
,26.406722,-80.160556,,33496.0
,26.415376,-80.088811,,33487.0
,26.433124,-81.902995,,33931.0
,26.450354,-98.276866,,78541.0
,26.450443,-80.186185,,33446.0
,26.451477,-98.092002,,78542.0
,26.454253,-80.134427,,33484.0
,26.455331,-80.106353,,33445.0
,26.457143,-98.035415,,78549.0
,26.458903,-80.079637,,33444.0
,26.462644,-80.061718,,33483.0
,26.463373,-81.773019,,33965.0
,26.46392,-82.093031,,33957.0
,26.471507,-81.81224,,33967.0
,26.477435,-97.921496,,78561.0
,26.48774,-97.738953,,78580.0
,26.503777,-80.19161,,33473.0
,26.508366,-97.647775,,78590.0
,26.512045,-80.148962,,33437.0
,26.514239,-81.696796,,33913.0
,26.515834,-81.979469,,33908.0
,26.522954,-80.107263,,33436.0
,26.523344,-99.111146,,78585.0
,26.525785,-80.061367,,33435.0
,26.530903,-98.740235,,78582.0
,26.533736,-80.083152,,33426.0
,26.534017,-81.826175,,33912.0
,26.538476,-80.185568,,33472.0
,26.538819,-80.728719,,33493.0
,26.546315,-82.143657,,33956.0
,26.554392,-82.020944,,33914.0
,26.556626,-81.901095,,33919.0
,26.562706,-81.601925,,33974.0
,26.563891,-81.870266,,33907.0
,26.564765,-81.03784,,33440.0
,26.567132,-81.406708,,33930.0
,26.569308,-97.442331,,78598.0
,26.57331,-98.96276,,78584.0
,26.576012,-81.944393,,33904.0
,26.58002,-80.072282,,33462.0
,26.582929,-98.521632,,78591.0
,26.587174,-99.119871,,78545.0
,26.589949,-80.232713,,33449.0
,26.591277,-81.68613,,33976.0
,26.591622,-81.830726,,33966.0
,26.59324,-80.128244,,33463.0
,26.596362,-80.175602,,33467.0
,26.602325,-82.220531,,33945.0
,26.607864,-81.724636,,33973.0
,26.617555,-82.209305,,33924.0
,26.619664,-80.056715,,33460.0
,26.620406,-80.090703,,33461.0
,26.621074,-81.878139,,33901.0
,26.623407,-81.601499,,33936.0
,26.625361,-82.026215,,33991.0
,26.62799,-81.944774,,33990.0
,26.637103,-81.838448,,33916.0
,26.638155,-82.162513,,33922.0
,26.639584,-81.699699,,33971.0
,26.641965,-80.554002,,33430.0
,26.64892,-80.246459,,33414.0
,26.64928,-81.616279,,33972.0
,26.649282,-98.451125,,78536.0
,26.654454,-98.259766,,78563.0
,26.660205,-80.126573,,33415.0
,26.663779,-80.151724,,33413.0
,26.664093,-80.092407,,33406.0
,26.667872,-81.760927,,33905.0
,26.669649,-80.058452,,33405.0
,26.678196,-99.103088,,78564.0
,26.679968,-81.90663,,33903.0
,26.686371,-80.042626,,33480.0
,26.692897,-82.034065,,33993.0
,26.693201,-81.945126,,33909.0
,26.714559,-80.095821,,33409.0
,26.715844,-80.070249,,33401.0
,26.719196,-80.124507,,33417.0
,26.720012,-80.193151,,33411.0
,26.729431,-80.319858,,33470.0
,26.737863,-98.397207,,78588.0
,26.738607,-81.844783,,33917.0
,26.742298,-81.63605,,33920.0
,26.757692,-80.091172,,33407.0
,26.760319,-81.432856,,33935.0
,26.772225,-82.252804,,33921.0
,26.781022,-80.063738,,33404.0
,26.794532,-80.207075,,33412.0
,26.802148,-80.624722,,33476.0
,26.803747,-80.076368,,33403.0
,26.816404,-81.993627,,33955.0
,26.840483,-80.052158,,33408.0
,26.845662,-80.08735,,33410.0
,26.847524,-82.281369,,33946.0
,26.872713,-80.165712,,33418.0
,26.880517,-98.216213,,78353.0
,26.884624,-81.198234,,33471.0
,26.887601,-82.265696,,33947.0
,26.902989,-82.046244,,33950.0
,26.910534,-81.767196,,33982.0
,26.911014,-97.773774,,78338.0
,26.917571,-82.30394,,34224.0
,26.918213,-82.219616,,33981.0
,26.920226,-80.076589,,33477.0
,26.930929,-99.162765,,78076.0
,26.931927,-80.60069,,33438.0
,26.935021,-80.246071,,33478.0
,26.936558,-80.131851,,33458.0
,26.982666,-82.3542,,34223.0
,26.983504,-82.043606,,33980.0
,26.985889,-82.151742,,33948.0
,26.986134,-82.097042,,33952.0
,26.989221,-80.108541,,33469.0
,26.994441,-81.29104,,33944.0
,26.999702,-82.212275,,33953.0
,27.009117,-82.017871,,33983.0
,27.024724,-82.122407,,33954.0
,27.025247,-82.346959,,34293.0
,27.044099,-81.402766,,33960.0
,27.051628,-82.114523,,34288.0
,27.052571,-82.244353,,34287.0
,27.053143,-80.161232,,33455.0
,27.055637,-80.270195,,34997.0
,27.067597,-82.013096,,34269.0
,27.079862,-82.132601,,34289.0
,27.080871,-82.181256,,34286.0
,27.094062,-82.240218,,34291.0
,27.094564,-82.440895,,34285.0
,27.094656,-80.498888,,34956.0
,27.100448,-98.789966,,78361.0
,27.101944,-82.341525,,34292.0
,27.128042,-99.331147,,78067.0
,27.137133,-80.346948,,34990.0
,27.139357,-97.90137,,78385.0
,27.145973,-80.949686,,34974.0
,27.149245,-81.895327,,34268.0
,27.151792,-82.422444,,34275.0
,27.192286,-81.820248,,34266.0
,27.192291,-82.485189,,34229.0
,27.192817,-80.189813,,34996.0
,27.194074,-98.207295,,78355.0
,27.200948,-80.257153,,34994.0
,27.235792,-82.470536,,34238.0
,27.239337,-81.373963,,33852.0
,27.243974,-80.38232,,34953.0
,27.248984,-80.330574,,34984.0
,27.250668,-82.377574,,34241.0
,27.260222,-82.540907,,34242.0
,27.266027,-82.516651,,34231.0
,27.280031,-82.476631,,34233.0
,27.280287,-80.238923,,34957.0
,27.290285,-80.49712,,34987.0
,27.296128,-80.299313,,34952.0
,27.306614,-97.780427,,78379.0
,27.310893,-82.521168,,34239.0
,27.316487,-82.553527,,34236.0
,27.324139,-80.350299,,34983.0
,27.324987,-82.471714,,34232.0
,27.327734,-80.401918,,34986.0
,27.336195,-81.189442,,33857.0
,27.338992,-82.512645,,34237.0
,27.364246,-82.319337,,34240.0
,27.36513,-98.996708,,78369.0
,27.368298,-82.543091,,34234.0
,27.369735,-82.476464,,34235.0
,27.373264,-80.308018,,34982.0
,27.373485,-98.285472,,78349.0
,27.373696,-99.346761,,78046.0
,27.377731,-82.171544,,34251.0
,27.392358,-81.510491,,33875.0
,27.395528,-80.377424,,34981.0
,27.39631,-98.171285,,78375.0
,27.401013,-82.527887,,34243.0
,27.40168,-82.468524,,34201.0
,27.402247,-82.638767,,34228.0
,27.406267,-82.388721,,34202.0
,27.412594,-81.35953,,33876.0
,27.421353,-98.514272,,78376.0
,27.432793,-81.699984,,33890.0
,27.433787,-81.963257,,33865.0
,27.437265,-80.55723,,34945.0
,27.438677,-82.579674,,34207.0
,27.439524,-82.620816,,34210.0
,27.440337,-82.509384,,34203.0
,27.443788,-80.330974,,34950.0
,27.444204,-97.865597,,78363.0
,27.453604,-82.377071,,34211.0
,27.453617,-80.373764,,34947.0
,27.467258,-80.299808,,34949.0
,27.471141,-82.685924,,34215.0
,27.480039,-98.864746,,78344.0
,27.484084,-82.581821,,34205.0
,27.487487,-82.515923,,34208.0
,27.491178,-82.705018,,34217.0
,27.497814,-82.408401,,34212.0
,27.500129,-82.651386,,34209.0
,27.503294,-80.36048,,34946.0
,27.505251,-81.545953,,33872.0
,27.506929,-81.408456,,33870.0
,27.509388,-80.929139,,34972.0
,27.513811,-99.502143,,78040.0
